Date,Index,Open,Low,High,Close,Vwap
2020-02-04,34,100.14835772173515,93.78552914971891,100.99039189278514,96.59448590558242,96.26449195199228
2020-03-10,69,97.47712428162131,94.14601301550994,99.11526929758156,94.14601301550994,97.14233350120996
2020-03-29,88,94.20771354622809,91.83449906105405,94.92237683392334,91.83449906105405,93.50380169154877
2020-05-01,121,93.57925325357918,91.09239850477177,104.82168058123113,104.82168058123113,95.59968853511668
2020-05-26,146,105.19590027634041,100.93834536567158,106.84090916250544,106.84090916250544,103.96913346854043
2020-06-28,179,105.43255958669495,103.97791579438662,111.92545255340957,111.92545255340957,107.14321825471667
2020-08-02,214,112.43178172854329,109.0156234639212,113.21187637991162,111.70686124544495,111.86825276031135
2020-08-15,227,110.96854386099425,110.50748295795285,117.7919862036386,117.7919862036386,112.04380005506479
2020-08-28,240,120.01217170344029,118.89685832889542,121.81833821644605,121.81833821644605,119.92000711875546
2020-09-22,265,120.68798057814826,119.3920320038842,127.97564231474264,119.3920320038842,124.4782564471214
2020-09-29,272,119.01013740525481,119.01013740525481,127.14244944653802,127.14244944653802,121.94067566190803
2020-11-09,313,126.67894045085501,126.22690323168027,130.46302134288354,126.22690323168027,128.37101973663266
2020-12-14,348,127.74660049531616,127.30555403127231,133.15228716612629,133.15228716612629,129.8372522913692
2021-01-02,367,134.04381642318413,132.58524342075674,138.52921805125303,138.52921805125303,135.5148849991531
2021-01-17,382,139.09970887050298,133.34456389479308,139.6361484839387,133.34456389479308,137.49817816784187
