Date,Index,Open,Low,High,Close,Vwap
2020-01-08,7,100.14835772173515,94.86968496342095,100.99039189278514,96.21558811546329,98.03095641708678
2020-01-19,18,97.13028552929077,95.29426839479744,98.62710556197314,95.29426839479744,96.81645157793994
2020-01-25,24,94.23799860480075,94.23799860480075,96.23243053132808,94.29813261721061,95.21459998040487
2020-02-01,31,93.78552914971891,93.78552914971891,97.12126219484038,97.12126219484038,95.28512391883812
2020-02-11,41,95.30983651197482,95.30983651197482,98.71702255063323,97.05719881531496,97.24922892695795
2020-02-17,47,97.43739821957583,97.01621146591354,99.11526929758156,98.45324576308198,98.1662777572395
2020-02-26,56,98.20363754321095,94.77362658382563,98.20363754321095,97.59396737482828,96.14241966695549
2020-03-06,65,98.10705318047977,96.41758575902189,99.03644383894992,97.51892653546089,97.84294024719509
2020-03-14,73,97.132193245142,92.46501862723757,97.132193245142,94.0324176951503,94.80316836676528
2020-03-21,80,93.33317784540294,92.61601822493643,94.65326367030546,92.97290868040233,93.56455681584241
2020-03-31,90,94.85601016068684,91.83449906105405,95.4164698666097,95.4164698666097,93.60859442321136
2020-04-11,101,93.84313563355154,91.87929091101392,95.17881727439129,91.87929091101392,94.03870045938581
2020-04-19,109,91.30998763926445,91.09239850477177,92.92321557883692,92.92321557883692,91.84228940007829
2020-04-29,119,95.28083683200823,95.28083683200823,100.33764845770426,99.97555442875279,98.53180805354155
2020-05-09,129,101.93510561569637,100.93834536567158,105.19590027634041,104.61130148881233,103.05823258009498
2020-05-19,139,104.28651846480265,101.72906726760868,105.75400199664574,103.83551276761804,104.02908899192835
2020-05-27,147,104.9327254540861,103.56716778519089,106.84090916250544,105.43255958669495,104.93297540509738
2020-06-09,160,107.21836261615908,103.97791579438662,108.10454854745427,103.97791579438662,106.31233817004254
2020-06-18,169,105.92760773668327,104.62660114756726,108.87904106555003,108.87904106555003,106.11571110808774
2020-06-28,179,107.93522432626908,106.7743131190293,111.92545255340957,111.92545255340957,109.35162829606125
2020-07-07,188,112.43178172854329,109.07842587637788,112.43178172854329,112.33102909857351,111.44328576181121
2020-07-17,198,112.22753418202286,111.31146326322552,113.21187637991162,112.21865241830666,112.3677083012798
2020-07-24,205,111.78818608973532,111.602927097771,113.14026063381674,112.12285380012457,112.35482200901649
2020-08-04,216,112.4365852335373,109.0156234639212,112.4365852335373,110.50748295795285,111.03774663309623
2020-08-16,228,110.8892023415867,110.73402345141425,120.01217170344029,120.01217170344029,113.8317896965579
2020-08-26,238,120.01049158374192,118.89685832889542,121.19590536749732,118.89685832889542,119.87352694511722
2020-09-05,248,119.43673681674412,119.43673681674412,124.40862851825673,122.92988370801163,122.66174770180545
2020-09-14,257,123.01225245818995,122.54100165451274,127.97564231474264,127.53071781836786,125.91990814370983
2020-09-20,263,127.39933148999627,122.91734340895722,127.39933148999627,122.91734340895722,125.36197367990204
2020-09-30,273,120.87467274770582,119.01013740525481,127.14244944653802,126.67894045085501,121.84919421642518
2020-10-09,282,128.016402827661,127.27391862822469,130.13290817772918,130.13290817772918,128.33856005609707
2020-10-21,294,130.1192030714918,127.4730447182309,130.1981456010121,127.4730447182309,128.9448746789087
2020-10-30,303,127.8395859256649,126.29985676771406,130.46302134288354,129.9005729843153,128.3115335411423
2020-11-07,311,129.680441438323,126.88911192513446,130.25150143100691,126.88911192513446,128.69756594575807
2020-11-16,320,126.34601597893268,126.22690323168027,129.32838300914784,129.32838300914784,127.49414681076766
2020-11-25,329,129.5059902511444,129.01688600193344,131.26684230508604,131.26684230508604,130.24262429869694
2020-12-07,341,132.45541192761624,128.61397529257323,132.45541192761624,129.06920025670317,130.62205065962442
2020-12-13,347,128.06903423489163,128.06903423489163,132.25751620494555,132.25751620494555,129.7619343285984
2020-12-22,356,133.15228716612629,132.58524342075674,136.86084446870188,136.86084446870188,134.48084689006734
2020-12-30,364,136.00513776486417,135.3470401486557,136.77939568365974,135.70287021653922,135.92902454104134
2021-01-09,374,137.26499928882384,137.26499928882384,139.6361484839387,138.8651990818433,138.43883395922936
2021-01-21,386,138.10201539408803,132.52441100975545,138.10201539408803,134.91404096119214,135.38760959196597
2021-02-01,397,135.0731528101834,135.0731528101834,138.52338493701467,136.5171704742492,136.38388991391878
2021-02-06,402,137.52476125259946,137.52476125259946,140.31613679443473,140.09490012518754,139.25625621274887
2021-02-15,411,140.90687682816625,140.90687682816625,143.2414229469694,141.06377980020457,141.95391730807611
2021-02-24,420,142.04606102425566,141.39418719843442,146.09838082609542,146.09838082609542,143.58529144718293
2021-03-03,427,145.95895768209655,145.06895650215006,147.48091104498195,147.2522655258941,146.4626385651082
2021-03-09,433,145.92386312418046,145.92386312418046,150.60716749307235,149.83861978266305,148.84001760572212
2021-03-17,441,150.14141633674305,148.17165905658598,151.9973485526227,150.91640581524018,149.97072279056047
2021-03-25,449,150.01551627566084,146.84454963313232,150.01551627566084,148.98740652616848,149.00315165666086
2021-04-01,456,148.5705754897657,146.42901613819365,148.73336163213185,146.94073325970197,147.2841405533368
2021-04-10,465,145.7357030581881,143.7213491138803,146.83731094992996,146.83731094992996,145.26031270922994
2021-04-21,476,146.10689466725378,146.10689466725378,150.61802678682324,150.61802678682324,147.75912485778107
2021-04-30,485,149.59055235418526,147.08846228653772,149.59055235418526,147.70791233263282,147.975479668422
2021-05-08,493,145.54518506045156,140.05604422885864,146.15637417725262,140.05604422885864,143.03715980558295
